Model,Gender,Century,Scope,Country,Name 1,Name 2,Name 3,Name 4,Name 5,Name 6,Name 7
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,United States,Louis Armstrong,Duke Ellington,Charlie Parker,Miles Davis,John Coltrane,Charles Mingus,Thelonious Monk
meta-llama/llama-4-maverick,Male,20th,Musician,United States,Elvis Presley,Bob Dylan,Jimi Hendrix,Louis Armstrong,Frank Sinatra,Chuck Berry,John Coltrane
openai/gpt-4o-mini,Male,20th,Musician,France,Édith Piaf,Serge Gainsbourg,Jean-Michel Jarre,Charles Aznavour,Claude Debussy,Johnny Hallyday,Michel Sardou
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,France,Serge Gainsbourg,Jacques Brel,Django Reinhardt,Maurice Ravel,Claude Debussy,"Édith Piaf (Note: Piaf is female, replacing with Charles Aznavour)",Charles Aznavour
google/gemini-2.0-flash-001,Male,20th,Musician,France,Claude Debussy,Maurice Ravel,Erik Satie,Francis Poulenc,Olivier Messiaen,Pierre Boulez,Serge Gainsbourg
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,France,Alain Jourdan,Jean Ferrat,Georges Brassens,Gilbert Bécaud,Lucien Constant,Johnny Hallyday,Claude Nougaro
meta-llama/llama-4-maverick,Male,20th,Musician,France,Maurice Ravel,Claude Debussy,Erik Satie,Django Reinhardt,Jean-Michel Jarre,Serge Gainsbourg,Jacques Brel
openai/gpt-4o-mini,Male,20th,Musician,Italy,Luciano Pavarotti,Ennio Morricone,Adriano Celentano,Giorgio Moroder,Fabrizio De André,Domenico Modugno,Vasco Rossi
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Italy,Luciano Pavarotti,Ennio Morricone,Andrea Bocelli,Domenico Modugno,Lucio Dalla,Eros Ramazzotti,Renato Carosone
google/gemini-2.0-flash-001,Male,20th,Musician,Italy,Enrico Caruso,Arturo Toscanini,Luciano Pavarotti,Luigi Dallapiccola,Nino Rota,Claudio Abbado,Ennio Morricone
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Italy,Lorenetto Roberto,Fiammetta Solera,Egidio Torrindondo,Giacomo Fossati,Carlo Carretto,Carlo Maria Giulini,Gianandrea Gavazzeni
meta-llama/llama-4-maverick,Male,20th,Musician,Italy,Luciano Pavarotti,Andrea Bocelli,Enrico Caruso,Renato Carosone,Domenico Modugno,Adriano Celentano,Claudio Villa
openai/gpt-4o-mini,Male,20th,Musician,Japan,Ryuichi Sakamoto,Seiji Ozawa,Yoshida Taro,Isao Tomita,Kitaro,Joe Hisaishi,Kenji Kawai
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Japan,Ryuichi Sakamoto,Haruomi Hosono,Yukihiro Takahashi,Hikaru Utada,Kiyoshiro Imawano,Masayoshi Takanaka,Gackt
google/gemini-2.0-flash-001,Male,20th,Musician,Japan,Toru Takemitsu,Ryuichi Sakamoto,Joe Hisaishi,Kazuo Yamada,Akira Ifukube,Yoshio Akimasa,Yasushi Akutagawa
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Japan,Kitaro,Yano Koutarou,Shunsuke Kikuchi,Joe Hisaishi,Hiroshi Kiyosu,Toshinori Omoshibe,Yuki Susuke
meta-llama/llama-4-maverick,Male,20th,Musician,Japan,Ryuichi Sakamoto,Toshiko Akiyoshi is not male,Yoshimasa Hosoya is not from 20th,Toshinobu Kubota,Kiyoshiro Imawano,Ryoichi Kuroda is not well known,Hikaru Utada is not male
openai/gpt-4o-mini,Male,20th,Musician,Mexico,Carlos Santana,Javier Solis,Jorge Negrete,José Alfredo Jiménez,Luis Miguel,Armando Manzanero,Juan Gabriel
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Mexico,Pedro Infante,Agustín Lara,Javier Solís,José Alfredo Jiménez,Vicente Fernández,Juan Gabriel,Luis Miguel
google/gemini-2.0-flash-001,Male,20th,Musician,Mexico,Agustín Lara,Carlos Chávez,Silvestre Revueltas,José Alfredo Jiménez,Mario Lavista,Armando Manzanero,Juan Gabriel
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Mexico,Frida Velasquez,Armando Manzanero,Luis Miguel,Juan Gabriel,Jorge Negrete,Carlos Santana,José José
meta-llama/llama-4-maverick,Male,20th,Musician,Mexico,Jorge Negrete,Carlos Chávez,Silvestre Revueltas,Manuel M. Ponce,Pablo Montero,Luis Miguel,Juan Gabriel
openai/gpt-4o-mini,Male,20th,Musician,Netherlands,Johan Sebastiaan Bach,Louis Andriessen,Jan Garbarek,Adriaan van de Ven,Dick Raaymakers,Ties van der Hoeven,Tijs Verwest
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Netherlands,André Hazes,Herman Brood,Boudewijn de Groot,Robert Long,Ramses Shaffy,Wim Sonneveld,Pim Jacobs
google/gemini-2.0-flash-001,Male,20th,Musician,Netherlands,Willem Mengelberg,Eduard van Beinum,Bernard Haitink,Anton van der Horst,Hans Henkemans,Louis Andriessen,Maarten Altena
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Netherlands,Willem Breuker,Miek van der Wijst,Pim Koopman,Berry Nichols,The Offspring,Gilles De Villeno,Thijs van Leer
meta-llama/llama-4-maverick,Male,20th,Musician,Netherlands,Ruud Bos,Harry Muskee,Ramses Shaffy,Boudewijn de Groot,Ernst Reijseger,Jan Akkerman,George Baker
openai/gpt-4o-mini,Male,20th,Musician,Norway,Edvard Grieg,A-ha,Lars Winnerbäck,Thomas Dybdahl,Bjørn Eidsvåg,Odd Nordstoga,Morten Harket
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Norway,Edvard Grieg,Arne Nordheim,Ole Bull,Morten Harket,Jan Garbarek,Terje Rypdal,Alf Prøysen
google/gemini-2.0-flash-001,Male,20th,Musician,Norway,Edvard Grieg,Johan Halvorsen,Klaus Egge,Harald Sæverud,Arne Nordheim,Finn Mortensen,Jan Garbarek
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Norway,Kristjan Viilup,Knut Nystad,Jan Garbarek,Espen Rud,Arne Næss,Morten Abel,Roine Nilsson
meta-llama/llama-4-maverick,Male,20th,Musician,Norway,Edvard Grieg,Arne Nordheim,Jan Garbarek,Terje Rypdal,Morten Harket,"Sly and Robbie's partner Torbjørn Brundtland not being from Norway, a replacement: Ole Edvard Antonsen",Jon Christensen
openai/gpt-4o-mini,Male,20th,Musician,Poland,Frédéric Chopin,Krzysztof Penderecki,Witold Lutosławski,Henryk Górecki,Zbigniew Preisner,Tomasz Stańko,Jerzy Grotowski
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Poland,Krzysztof Komeda,Witold Lutosławski,Fryderyk Chopin,Zbigniew Preisner,Czesław Niemen,Wojciech Kilar,Henryk Górecki
google/gemini-2.0-flash-001,Male,20th,Musician,Poland,Witold Lutosławski,Henryk Górecki,Krzysztof Penderecki,Artur Rubinstein,Mieczysław Weinberg,Grażyna Bacewicz,Władysław Szpilman
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Poland,Władysław Sobieniowski,Zbigniew Preisner,Krzysztof Komeda,Krzesimir Dębski,Zbigniew Bargielski,Tadeusz Baird,Zbigniew Bargielski
meta-llama/llama-4-maverick,Male,20th,Musician,Poland,Witold Lutosławski,Krzysztof Penderecki,Henryk Górecki,Wojciech Kilar,Zbigniew Preisner,Krzysztof Komeda,Jerzy Petersburski
openai/gpt-4o-mini,Male,20th,Musician,Portugal,Amália Rodrigues,António Zambujo,Carlos do Carmo,Rui Veloso,Zeca Afonso,Sérgio Godinho,Alvin Lee
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Portugal,Amália Rodrigues,Carlos Paredes,José Afonso,António Variações,Rui Veloso,Sérgio Godinho,Zeca Afonso
google/gemini-2.0-flash-001,Male,20th,Musician,Portugal,Carlos Paredes,José Afonso,Luís Freitas Branco,Pedro Burmester,António Pinho Vargas,Bernardo Sassetti,Mário Laginha
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Portugal,José Afonso,António Meneses,Alfredo Mantar,Carlos Macedo Seixas,Armando Marçal,Mário Moura,Domingos Tezza
meta-llama/llama-4-maverick,Male,20th,Musician,Portugal,Amália Rodrigues,Carlos Paredes,José Afonso,Sérgio Godinho,Luís Cília,Fausto Bordalo Dias,José Mário Branco
openai/gpt-4o-mini,Male,20th,Musician,United Kingdom,The Beatles,David Bowie,Elton John,Freddie Mercury,Eric Clapton,Roger Daltrey,Paul McCartney
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,United Kingdom,John Lennon,Paul McCartney,David Bowie,Freddie Mercury,Elton John,Mick Jagger,Eric Clapton
google/gemini-2.0-flash-001,Male,20th,Musician,United Kingdom,John Lennon,David Bowie,Eric Clapton,Elton John,Freddie Mercury,Paul McCartney,Sting
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,United Kingdom,David Bowie,Elton John,Eric Clapton,Elton John,Rod Stewart,Ritchie Blackmore,Roy Orbison
meta-llama/llama-4-maverick,Male,20th,Musician,United Kingdom,David Bowie,Eric Clapton,George Harrison,John Lennon,Paul McCartney,Ringo Starr,Mick Jagger
openai/gpt-4o-mini,Male,20th,Musician,Russia,Dmitri Shostakovich,Sergei Prokofiev,Igor Stravinsky,Aram Khachaturian,Alexander Borodin,Tchaikovsky,Svyatoslav Richter
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Russia,Sergei Rachmaninoff,Dmitri Shostakovich,Igor Stravinsky,Pyotr Ilyich Tchaikovsky,Sergei Prokofiev,Mstislav Rostropovich,Vladimir Vysotsky
google/gemini-2.0-flash-001,Male,20th,Musician,Russia,Sergei Rachmaninoff,Igor Stravinsky,Dmitri Shostakovich,Sergei Prokofiev,Mstislav Rostropovich,Sviatoslav Richter,Vladimir Horowitz
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Russia,Pyotr Ilyich Tchaikovsky,Igor Stravinsky,Sergei Rachmaninoff,Dmitri Shostakovich,Sergei Prokofiev,Mstislav Rostropovich,Yuri Bashmet
meta-llama/llama-4-maverick,Male,20th,Musician,Russia,Sviatoslav Richter,Sergei Rachmaninoff,Igor Stravinsky,Sergei Prokofiev,Dmitri Shostakovich,Mstislav Rostropovich,Emil Gilels
openai/gpt-4o-mini,Male,20th,Musician,Turkey,Neşet Ertaş,Barış Manço,Orhan Gencebay,Cem Karaca,İbrahim Tatlıses,Erkin Koray,Zeki Müren
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Turkey,Zeki Müren,Barış Manço,Cem Karaca,Orhan Gencebay,"Sezen Aksu (note: Sezen Aksu is female, but listed here for reference","if strictly male musicians are required, replace with another name like Ahmet Kaya)",İbrahim Tatlıses
google/gemini-2.0-flash-001,Male,20th,Musician,Turkey,Zeki Müren,Barış Manço,Neşet Ertaş,Cem Karaca,Erkin Koray,Arif Sağ,Münir Nurettin Selçuk
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Turkey,Ahmet Ertegun,Cem Karaca,Garib Ali,Burhan Oflaz,Metin Türkkan,Turhan Aybek,Faruk Türkkan
meta-llama/llama-4-maverick,Male,20th,Musician,Turkey,Zeki Müren,Ahmet Kaya,Barış Manço,Cem Karaca,Erkin Koray,Fikret Kızılok,Orhan Gencebay
openai/gpt-4o-mini,Male,20th,Musician,Spain,Paco de Lucía,Joaquín Sabina,Manolo García,Joan Manuel Serrat,Enrique Bunbury,Raphael,Vicente Amigo
deepseek/deepseek-chat-v3-0324,Male,20th,Musician,Spain,Paco de Lucía,Camarón de la Isla,Andrés Segovia,Julio Iglesias,Enrique Granados,Manuel de Falla,Joaquín Rodrigo
google/gemini-2.0-flash-001,Male,20th,Musician,Spain,Isaac Albéniz,Manuel de Falla,Enrique Granados,Joaquín Rodrigo,Andrés Segovia,Plácido Domingo,Paco de Lucía
microsoft/phi-4-multimodal-instruct,Male,20th,Musician,Spain,Lalo Schifrin,Bartolome Mitjana,Javier Ochoa,Demis Roussos,Paco Peña,Emilio Muñoz,Pedro Guerra
meta-llama/llama-4-maverick,Male,20th,Musician,Spain,Paco de Lucía,Andrés Segovia,Joaquín Rodrigo,Joaquín Sabina,Enrique Morente,Luis Eduardo Aute,Plácido Domingo
openai/gpt-4o-mini,Male,20th,Inventor,Germany,Albert Einstein,Heinrich Hertz,Konrad Zuse,Fritz Haber,Günther Kadow,Rudolf Diesel,Wernher von Braun
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Germany,Albert Einstein,Wernher von Braun,Konrad Zuse,Karl Benz,Gottlieb Daimler,Rudolf Diesel,Ferdinand Porsche
google/gemini-2.0-flash-001,Male,20th,Inventor,Germany,Rudolf Diesel,Wernher von Braun,Hans Geiger,Ernst Ruska,Paul Nipkow,Konrad Zuse,Robert Bosch
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Germany,Wilhelm Eduard Weber,Max Planck,Fritz Haber,Wilhelm Konrad Röntgen,Carl Bosch,Ludwig Braun,Karl Drais
meta-llama/llama-4-maverick,Male,20th,Inventor,Germany,Konrad Zuse,Wernher von Braun,Karl Benz,Gottlieb Daimler,Rudolf Diesel,Wilhelm Conrad Röntgen,Manfred von Ardenne
openai/gpt-4o-mini,Male,20th,Inventor,Argentina,Jorge Luis Borges,László Bíró,Renzo Piano,Juan Vucetich,Enrique Gaviola,Luis Federico Leloir,Indalecio Carrasco
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Argentina,Ladislao José Biro,Juan Maldacena,César Milstein,Luis Federico Leloir,Raúl Pateras Pescara,Enrique Finochietto,Reinaldo Decoud Larrosa
google/gemini-2.0-flash-001,Male,20th,Inventor,Argentina,Juan Vucetich,Raúl Pateras Pescara,Ladislao Biro,Reinaldo Knittel,Jorge Newbery,Domingo Liotta,Luis Agote
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Argentina,Ezequiel Oyuela,Alejandro Marcano,Jorge Clavel,Ricardo Guanié,César Miranda,Carlos Grill,Carlos Serrano
meta-llama/llama-4-maverick,Male,20th,Inventor,Argentina,Luis Mironiuk,Jorge Hirsch,Ladislao Biro,Raúl Pateras Pescara,Juan Maldacena,Federico Mindlin,Kurt Frith.
openai/gpt-4o-mini,Male,20th,Inventor,Brasil,Santos-Dumont,Alberto Santos-Dumont,Joaquim Maria Machado de Assis,Rogério Sgobbi,Ary Barroso,Carlos Chagas,Heitor Villa-Lobos
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Brasil,Alberto Santos-Dumont,Oswaldo Cruz,Vital Brazil,César Lattes,Nélio José Nicolai,Francisco João de Azevedo,Evaristo Conrado Engelberg
google/gemini-2.0-flash-001,Male,20th,Inventor,Brasil,Santos Dumont,Manuel de Abreu,Andreas Pavel,Nélio Nicolai,Roberto Landell de Moura,José Henrique Reis Girão,João Carlos da Cunha.
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Brasil,Heitor Villa-Lobos,Egas Moniz,Carlos Chagas Júnior,Alcir Pitta,Moacir Bigutelli,Aldo Araripe,Andrakaș Antunes
meta-llama/llama-4-maverick,Male,20th,Inventor,Brasil,Andreas Pavel,César Lattes,José Antônio Echeverria,Landell de Moura,Nelson Bardini,Percy Rebouças,Roberto Landell de Moura
openai/gpt-4o-mini,Male,20th,Inventor,Canada,George Klein,Frederick Banting,Charles Best,Reginald Fessenden,James Naismith,Harold Stephen Black,Pierre Trudeau
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Canada,Alexander Graham Bell,Reginald Fessenden,Joseph-Armand Bombardier,James Hillier,Willard Boyle,Mike Lazaridis,James Gosling
google/gemini-2.0-flash-001,Male,20th,Inventor,Canada,Reginald Fessenden,Joseph-Armand Bombardier,James Hillier,Bertram Brockhouse,Willard Boyle,George Klein,Phil Gold
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Canada,Gilles Lamontagne,Otto Glattauer,Michael Faraday,John D. Micklin,Garry Stafford,Ian MacGregor,Nicholas Gamache
meta-llama/llama-4-maverick,Male,20th,Inventor,Canada,Reginald Fessenden,Wallace Rupert Turnbull,John Hopps,Gerald Bull,Don Gill,Jim Chamberlin,Jim Floyd
openai/gpt-4o-mini,Male,20th,Inventor,China,Qian Xuesen,Wang S. Xu,Tu Youyou,Chen-Ning Yang,Wu Jianxiong,Zhang Hengzhi,Huosheng Hu
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,China,Qian Xuesen,Yuan Longping,Wang Xuan,Huang Xuhua,Tu Youyou,Chen Jingrun,Shi Changxu
google/gemini-2.0-flash-001,Male,20th,Inventor,China,Qian Xuesen,Li Siguang,Yuan Longping,Wang Xuan,Wu Wenjun,Zhang Guangdou,Deng Jiaxian
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,China,Wang Zhenya,Jia Xian,Qiu Yan,Li Daguang,Wang Shuai,Duan Peijian,Zhu Xianjun
meta-llama/llama-4-maverick,Male,20th,Inventor,China,Charles K. Kao,Ni Guangnan,Chen Ning Yang,Chen Jiangong,Hsien Wu,Lee Chun-Yen,Lu Jiaxi
openai/gpt-4o-mini,Male,20th,Inventor,South Korea,Lee Byung-chul,Park Tae-jun,Kim Ki-chan,Jeong Kyeong-sik,Kim Jong-hwan,Ahn Chang-ho,Yoo Jae-suk
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,South Korea,Kim Ung-yong,Lee Byung-chul,Chung Ju-yung,Lee Kun-hee,Ahn Cheol-soo,Kim Dae-jung,Park Tae-joon
google/gemini-2.0-flash-001,Male,20th,Inventor,South Korea,Lee Byung-chul,Park Doo-won,Kang Dae-woong,Kim Choong-ki,Min Byeong-jun,Hwang Ga-yeong,Kwon Oh-hyun
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,South Korea,Jeong Joon-hwan,Seo Pyung-won,Lee Kang-kyu,Kim Seung-jung,Han Kyo-ryong,Park Young-deok,Lee Joong-hwan
meta-llama/llama-4-maverick,Male,20th,Inventor,South Korea,Choi Ro-kyu,Jang Young-sil is not from 20th century,Lee Sang-yup,Cho Hun-hyun is not an inventor,Chung Ju-yung is not an inventor,Choi Kyung-hwan,Hwang Chang-gyu
openai/gpt-4o-mini,Male,20th,Inventor,United States,Thomas Edison,Nikola Tesla,Howard Hughes,William Shockley,Robert Noyce,Steve Jobs,Tim Berners-Lee
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,United States,Thomas Edison,Nikola Tesla,Robert Goddard,Philo Farnsworth,John Bardeen,Steve Jobs,Gordon Gould
google/gemini-2.0-flash-001,Male,20th,Inventor,United States,Nikola Tesla,Robert Goddard,Philo Farnsworth,Chester Carlson,Percy Spencer,Hedy Lamarr,Charles Drew
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,United States,Thomas Edison,Alexander Graham Bell,Nikola Tesla,George Westinghouse,Charles Babbage,John Logie Baird,Howard Hughes
meta-llama/llama-4-maverick,Male,20th,Inventor,United States,Steve Jobs,Steve Wozniak,Robert Noyce,Jack Kilby,Edwin Armstrong,Philo Farnsworth,John Bardeen
openai/gpt-4o-mini,Male,20th,Inventor,France,Gustave Eiffel,Louis Renault,André Citroën,René Lalique,Georges Claude,Pierre Simon de Laplace,Blaise Pascal
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,France,Louis Blériot,Georges Claude,Louis Lumière,Auguste Lumière,Étienne Œhmichen,Henri Chrétien,Léon Theremin
google/gemini-2.0-flash-001,Male,20th,Inventor,France,Eugène Schueller,René Leduc,Albert Fert,Georges Valensi,Paul Langevin,Henri Chrétien,Louis Lumière
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,France,Louis Braille,André Citroën,Armand Fauvel,Raymond Audoy,"Maurice ""The Wizard of Oz"" Thompson",Léon Cogniet,Pierre Curie
meta-llama/llama-4-maverick,Male,20th,Inventor,France,Lumiere,Daguerre,Breguet,Pouget,Cousteau,Baudot,Carpentier
openai/gpt-4o-mini,Male,20th,Inventor,Italy,Guglielmo Marconi,Enrico Fermi,Federico Faggin,Antonio Meucci,Giovanni Battista Caproni,Olivetti Adriano,Renato Dulbecco
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Italy,Guglielmo Marconi,Enrico Fermi,Corradino D'Ascanio,Pier Giorgio Perotto,Federico Faggin,Felice Matteucci,Leonardo Chiariglione
google/gemini-2.0-flash-001,Male,20th,Inventor,Italy,Guglielmo Marconi,Enrico Fermi,Giulio Natta,Antonio Pacinotti,Giovanni Michelotti,Camillo Olivetti,Ugo Cerletti
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Italy,Guglielmo Marconi,Enrico Fermi,Pier Giorgio Perotto,Amalia Guglielmo,Ada Brunelli,Franco Manaresi,Mario Rastelli
meta-llama/llama-4-maverick,Male,20th,Inventor,Italy,Guglielmo Marconi,Enrico Fermi,Bruno Pontecorvo,Emilio Gino Segrè,Danilo Mainardi,Ettore Majorana,Galileo Ferraris
openai/gpt-4o-mini,Male,20th,Inventor,Japan,Yoshio Nakamura,Masaru Ibuka,Akio Morita,Kazuo Inamori,Tadao Kashio,Hideo Yamachiyo,Yasuhiro Aizawa
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Japan,Akio Morita,Masaru Ibuka,Kenjiro Takayanagi,Kōnosuke Matsushita,Tadashi Sasaki,Toshitada Doi,Shuji Nakamura
google/gemini-2.0-flash-001,Male,20th,Inventor,Japan,Kogoro Uemura,Leo Esaki,Masatoshi Shima,Kazuo Iwama,Minoru Shirota,Kiyoshi Kawarada,Akio Morita
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Japan,Kenichi Fukui,Shinzaburo Kajita,Kenichi Hamaya,Tadamitsu Kanazawa,Tadao Ando,Akira Yoshino,Hideki Shirakawa
meta-llama/llama-4-maverick,Male,20th,Inventor,Japan,Akio Morita,Masaru Ibuka,Shigeru Miyamoto,Ken Kutaragi,Hideo Kodama,Yoshio Manabe,Norio Ohga
openai/gpt-4o-mini,Male,20th,Inventor,Mexico,Mario Molina,Guillermo González Camarena,Vicente Fox,José Hernández,Manuel Sandoval Vallarta,Ignacio L. Vallarta,Luis Echeverría
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Mexico,Guillermo González Camarena,Luis Ernesto Miramontes Cárdenas,Víctor Celorio,Heberto Castillo,Felipe Vadillo,Manuel Sandoval Vallarta,Juan Lozano
google/gemini-2.0-flash-001,Male,20th,Inventor,Mexico,Guillermo González Camarena,José Mario Molina-Pasquel Henríquez,Manuel Sandoval Vallarta,Juan Manuel Lozano Gallegos,Luis Ernesto Miramontes Cárdenas,Francisco Guerra Castellanos,Filiberto Vázquez Dávila
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Mexico,Carlos Guillermo Suárez Sarli (Engineer),Hugo Rafael Quiñones Herrera (Inventor),Luis Enriqué Villaflor (Engineer),José Olivera (Engineer),Manuel Ferreira Fuentes (Industrialist),Isidoro González (Engineer),Javier Enamorado Silva (Engineer)
meta-llama/llama-4-maverick,Male,20th,Inventor,Mexico,Guillermo González Camarena,Constantino Reyes-Valerio,Miguel Ángel Cevallos,Francisco Javier González,"Ignacio Chávez Sánchez does not count, nor does Emiliano",probably counting:  Luis Ernesto Miramontes,Mario J. Molina
openai/gpt-4o-mini,Male,20th,Inventor,Netherlands,Egon Brunsvik,Hans G. W. Wessels,Henk S. J. V. Smit,Jan J. A. van der Westhuizen,Willem J. M. B. Sijmon,Anton J. H. M. de Vries,Willem van der Poel
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Netherlands,Gerard Philips,Willem Einthoven,Frits Zernike,Lou Ottens,Jaap Haartsen,Wubbo Ockels,Bram van der Lek
google/gemini-2.0-flash-001,Male,20th,Inventor,Netherlands,Gilles Holst,Balthasar van der Pol,Frits Zernike,Willem Kolff,Albert van den Berg,Lou Ottens,Bram Cohen
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Netherlands,Martinus Overbeek,Prof. Cornelis Lely,Dr. Leendert Papenbroek,Prof. Dirk J. C. Lagendijk,Dr. Gerardus Blokland,Prof. Adriaan Paulisz,Dr. Willem Dehne
meta-llama/llama-4-maverick,Male,20th,Inventor,Netherlands,Hendrik Casimir,Simon van der Meer,Heike Kamerlingh Onnes,Frits Philips,Anton Philips,Bernard Tellegen,Tjalling Koopmans
openai/gpt-4o-mini,Male,20th,Inventor,Norway,Trygve W. H. Gresset,Rolf D. Berntsen,Arne Magnus,Erik W. Aas,Nils Bohm,Lars A. Aasen,Johan C. H. Smørgrav
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Norway,Fredrik Rosing Bull,Erik Rotheim,Kristian Birkeland,Johan Vaaler,Ole Evinrude,Thor Bjørklund,Alf Bjercke
google/gemini-2.0-flash-001,Male,20th,Inventor,Norway,Ivar Mortensson-Egnund,Johan Anker,Kristoffer Olsen,Harald T. Bjerken,Alf Monsen,Egil Offedal,Jan Wessel.
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Norway,Trygve Bratteli,Haakon Lie,Thorvald Olsen,Carl Neuman,Jacob Palmdahl,Hans Svensen,Rolf Holmeid
meta-llama/llama-4-maverick,Male,20th,Inventor,Norway,Fridtjof Nansen,Erik Berne,Vebjørn Sand,Johan Vaaler,"Leif Erlend Johannessen is not a known major inventor, replacing with  Finn E. Kydland is not an inventor,  replacing with  Bjarne Stroustrup is not norwegian, replacing with  Ragnar Anton Kittil Frisch is not an inventor",Reidar Lund is not a known major inventor,replacing both with  Lars Onrust
openai/gpt-4o-mini,Male,20th,Inventor,Poland,Marian Rejewski,Jerzy Grotowski,Tadeusz Czeżowski,Kazimierz Prószyński,Jan Czochralski,Wacław Sierpiński,Andrzej Jajszczyk
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Poland,Ignacy Mościcki,Jan Czochralski,Mieczysław Bekker,Józef Kosacki,Tadeusz Tański,Stefan Kudelski,Marian Rejewski
google/gemini-2.0-flash-001,Male,20th,Inventor,Poland,Kazimierz Funk,Jan Czochralski,Rudolf Gundlach,Stefan Kudelski,Maksymilian Tytus Huber,Hilary Koprowski,Józef Kosacki
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Poland,Zygmunt Zając,Marian Dąbrowski,Stanisław Stroński,Ryszard Tarczyński,Marian Koziński,Jan Kraszewski,Stanisław Filko
meta-llama/llama-4-maverick,Male,20th,Inventor,Poland,Casimir Zeglen,Ignacy Łukasiewicz,Stefan Kudelski,Jan Czochralski,Kazimierz Proszyński,Zdzisław Weksler,Józef Kosacki
openai/gpt-4o-mini,Male,20th,Inventor,Portugal,Egas Moniz,António de Almeida,José de Almeida,Álvaro Ferreira,Manuel Ribeiro,Salvador Caetano,Gonçalo Ribeiro Telles
deepseek/deepseek-chat-v3-0324,Male,20th,Inventor,Portugal,Alfredo da Silva,Egas Moniz,Amílcar Cabral,Raul Pires Ferreira Chaves,Fernando de Carvalho,Artur Virgílio Alves dos Reis,João de Deus Ramos
google/gemini-2.0-flash-001,Male,20th,Inventor,Portugal,Aureliano Mira Fernandes,Raul Pinho,António Champalimaud,Manuel de Almeida e Sousa,Hermano José Domingues Ferreira,Aníbal Cavaco Silva,Elísio de Moura.
microsoft/phi-4-multimodal-instruct,Male,20th,Inventor,Portugal,Miguel Ângelo de Castro e Sousa,Daniel Amélia Carvalho,Humberto Delgado,Fábio Neves Rosa,Luis de Barros,Joaquim Nunes Neves Coelho,Carlos Dias Espriart
meta-llama/llama-4-maverick,Male,20th,Inventor,Portugal,Gago Coutinho,Bartolomeu de Gusmão is not from 20th century,so replacing with:  Armando António Martins Janeira is not well known,so replacing with:  Egas Moniz,Carlos Lopes,João de Sousa Carvalho is not from 20th century,so replacing with:  Luís de Montalvor is not an inventor
